"1","اختر الخدمة التي تريدها",NULL,"1",NULL,NULL
"2","كشف عام",NULL,"1",NULL,NULL
"3","تقويم اسنان",NULL,"1",NULL,NULL
"4","ازالة جير",NULL,"1",NULL,NULL
"5","خلع أسنان",NULL,"1",NULL,NULL
"6","خلع ضرس عقل جراحي",NULL,"1",NULL,NULL
"7","علاج جذور الاسنان",NULL,"1",NULL,NULL
"8","تركيب اسنان",NULL,"1",NULL,NULL
"9","علاج اسنان اطفال",NULL,"1",NULL,NULL
"10","ابتسامة هوليود",NULL,"1",NULL,NULL
"11","زراعة اسنان",NULL,"1",NULL,NULL
"12","تبييض اسنان",NULL,"1",NULL,NULL
"13","أخرى",NULL,"1",NULL,NULL
